delomrade,lan,latitud,longitud,groda,sort,jordart,sadatum,skordear,graderingsdatum,graderingstyp,forforfrukt,forfrukt,ekologisk,plojt,utvecklingsstadium,Bladfläcksvampar,Gulrost,Svartpricksjuka,Sädesbladlus
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-06-26,Veckovis,,Höstvete,False,,75,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-06-26,Veckovis,,Höstvete,False,,71,8.0,24.0,8.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-06-26,Veckovis,,Höstvete,False,,75,10.0,4.0,10.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-07-03,Veckovis,,Höstvete,False,,83,16.0,100.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-07-03,Veckovis,,Höstvete,False,,83,50.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-07-03,Veckovis,,Höstvete,False,,83,32.0,24.0,20.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-07-03,Veckovis,,Höstvete,False,,83,30.0,10.0,22.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-07-10,Veckovis,,Höstvete,False,,83,30.0,100.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-07-10,Veckovis,,Höstvete,False,,83,100.0,0.0,100.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-07-10,Veckovis,,Höstvete,False,,83,100.0,24.0,100.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-07-10,Veckovis,,Höstvete,False,,83,100.0,10.0,100.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-16,Veckovis,Höstraps,Höstvete,False,True,22,18.0,0.0,18.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-16,Veckovis,Höstraps,Höstvete,False,True,22,24.0,0.0,24.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-16,Veckovis,Höstraps,Höstvete,False,True,22,10.0,0.0,10.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-16,Veckovis,Höstraps,Höstvete,False,True,22,20.0,0.0,20.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-23,Veckovis,Höstraps,Höstvete,False,True,22,20.0,0.0,20.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-23,Veckovis,Höstraps,Höstvete,False,True,22,18.0,0.0,18.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-23,Veckovis,Höstraps,Höstvete,False,True,22,10.0,0.0,10.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-23,Veckovis,Höstraps,Höstvete,False,True,22,18.0,0.0,18.0,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-27,Veckovis,Höstraps,Höstvete,False,True,22,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-27,Veckovis,Höstraps,Höstvete,False,True,23,10.0,0.0,10.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-27,Veckovis,Höstraps,Höstvete,False,True,30,10.0,0.0,10.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-27,2018,2018-04-30,Veckovis,Höstraps,Höstvete,False,True,22,18.0,0.0,18.0,
